course_id,course_title,genre_id,genre_title,category_id,subcategory_id,theme_id,theme_title,session_id,session_title,session_type,estimated_minutes
ai_literacy_fundamentals,AI活用リテラシー基礎コース,ai_fundamentals,AI基礎理解,ai_digital_utilization,ai_ml_utilization,ai_basic_concepts,AI基本概念,what_is_ai,AIとは何か？,knowledge,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,ai_fundamentals,AI基礎理解,ai_digital_utilization,ai_ml_utilization,ai_basic_concepts,AI基本概念,ai_business_applications,ビジネスでのAI活用事例,case_study,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,ai_fundamentals,AI基礎理解,ai_digital_utilization,ai_ml_utilization,ai_basic_concepts,AI基本概念,ai_limitations_ethics,AIの限界と倫理的配慮,knowledge,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,prompt_engineering,プロンプトエンジニアリング入門,ai_digital_utilization,prompt_engineering,prompt_basics,プロンプトの基本,prompt_fundamentals,プロンプトの基本原則,knowledge,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,prompt_engineering,プロンプトエンジニアリング入門,ai_digital_utilization,prompt_engineering,prompt_basics,プロンプトの基本,advanced_prompting,高度なプロンプト技法,practice,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,prompt_engineering,プロンプトエンジニアリング入門,ai_digital_utilization,prompt_engineering,prompt_basics,プロンプトの基本,prompt_optimization,プロンプト最適化のコツ,practice,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,business_ai_practice,ビジネス活用実践,ai_digital_utilization,ai_ml_utilization,ai_workflow_integration,AI活用ワークフロー設計,workflow_analysis,業務プロセス分析とAI適用ポイント,knowledge,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,business_ai_practice,ビジネス活用実践,ai_digital_utilization,ai_ml_utilization,ai_workflow_integration,AI活用ワークフロー設計,human_ai_collaboration,人間とAIの協働設計,practice,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,business_ai_practice,ビジネス活用実践,ai_digital_utilization,ai_ml_utilization,ai_workflow_integration,AI活用ワークフロー設計,implementation_planning,AI導入計画の立案,case_study,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,ai_evaluation_ethics,実践・評価・倫理,ai_digital_utilization,dx_strategy_transformation,ai_performance_evaluation,AI成果評価と改善,evaluation_framework,AI評価のフレームワーク,knowledge,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,ai_evaluation_ethics,実践・評価・倫理,ai_digital_utilization,dx_strategy_transformation,ai_performance_evaluation,AI成果評価と改善,continuous_improvement,継続的改善プロセス,practice,9
ai_literacy_fundamentals,AI活用リテラシー基礎コース,ai_evaluation_ethics,実践・評価・倫理,ai_digital_utilization,dx_strategy_transformation,ai_performance_evaluation,AI成果評価と改善,responsible_ai_practice,責任あるAI活用,case_study,9
consulting_thinking_basics,コンサル思考法基礎コース,thinking_foundation,思考の基盤,logical_thinking_problem_solving,structured_thinking_mece,conclusion_first,結論ファースト,conclusion_first_basics,結論ファーストの基本,knowledge,3
consulting_thinking_basics,コンサル思考法基礎コース,thinking_foundation,思考の基盤,logical_thinking_problem_solving,structured_thinking_mece,conclusion_first,結論ファースト,conclusion_first_practice,結論ファースト実践ワーク,practice,3
consulting_thinking_basics,コンサル思考法基礎コース,thinking_foundation,思考の基盤,logical_thinking_problem_solving,structured_thinking_mece,conclusion_first,結論ファースト,conclusion_first_application,応用事例とコツ,case_study,3
consulting_thinking_basics,コンサル思考法基礎コース,thinking_foundation,思考の基盤,logical_thinking_problem_solving,structured_thinking_mece,mece_thinking,MECE思考,mece_basics,MECE思考の基本,knowledge,3
consulting_thinking_basics,コンサル思考法基礎コース,thinking_foundation,思考の基盤,logical_thinking_problem_solving,structured_thinking_mece,mece_thinking,MECE思考,mece_practice,MECE実践ワーク,practice,3
consulting_thinking_basics,コンサル思考法基礎コース,thinking_foundation,思考の基盤,logical_thinking_problem_solving,structured_thinking_mece,mece_thinking,MECE思考,mece_advanced,MECE応用とピラミッド構造,case_study,3
consulting_thinking_basics,コンサル思考法基礎コース,thinking_foundation,思考の基盤,logical_thinking_problem_solving,structured_thinking_mece,so_what_why_so,So What?/Why So?,so_what_basics,So What?/Why So?の基本,knowledge,3
